,DHSCLUST,DHSREGNA,LATNUM,LONGNUM,geometry,elementary_access,improved_access,limited_access,other
0,101,Niassa,-13.2856183701,35.2311376641,POINT (35.23113766400007 -13.28561836999995),15.0,2.0,11.0,
1,102,Niassa,-13.3226553441,35.2552169419,POINT (35.25521694200006 -13.32265534399994),16.0,8.0,3.0,
2,103,Niassa,-13.2716195297,35.196597022,POINT (35.19659702200005 -13.27161952999995),27.0,,1.0,
3,104,Niassa,-14.8119830985,36.5636866378,POINT (36.56368663800004 -14.81198309799993),10.0,18.0,,
4,105,Niassa,-14.7882135961,36.5140767925,POINT (36.51407679200003 -14.78821359599993),16.0,12.0,,
5,106,Niassa,-14.370950681,35.6555472134,POINT (35.65554721300003 -14.37095068099995),11.0,,17.0,
6,107,Niassa,-15.1365283077,36.5967239955,POINT (36.59672399500005 -15.13652830799998),28.0,,,
7,108,Niassa,-14.6769674673,36.4565979483,POINT (36.45659794800002 -14.67696746699994),2.0,,26.0,
8,109,Niassa,-12.0948480733,34.8491718249,POINT (34.84917182500004 -12.09484807299998),,,28.0,
9,110,Niassa,-13.5855505947,35.4727427875,POINT (35.47274278700007 -13.58555059499997),,,28.0,
10,111,Niassa,-13.3969621687,34.8692674752,POINT (34.86926747500007 -13.39696216899995),1.0,,27.0,
11,112,Niassa,-14.3944692055,35.7313483478,POINT (35.73134834800004 -14.39446920599994),21.0,,7.0,
12,113,Niassa,-14.1860512688,35.8962353707,POINT (35.89623537100005 -14.18605126899996),18.0,,10.0,
13,114,Niassa,-13.3999108667,37.7508006183,POINT (37.75080061800003 -13.39991086699996),10.0,,18.0,
14,115,Niassa,-12.6318183261,36.077732521,POINT (36.07773252100003 -12.63181832599997),22.0,,6.0,
15,116,Niassa,-15.4249441839,36.0152113491,POINT (36.01521134900003 -15.42494418399997),5.0,,23.0,
16,117,Niassa,-15.0447478106,35.9761847027,POINT (35.97618470300006 -15.04474781099998),28.0,,,
17,118,Niassa,-14.4934477545,37.3109829836,POINT (37.31098298400008 -14.49344775399993),2.0,,26.0,
18,119,Niassa,-13.9948561295,35.4213920209,POINT (35.42139202100003 -13.99485612999996),24.0,,4.0,
19,120,Niassa,-14.1473983843,38.2453345306,POINT (38.24533453100003 -14.14739838399993),14.0,,14.0,
20,201,Cabo Delgado,-13.3804717711,39.7960852159,POINT (39.79608521600005 -13.38047177099997),22.0,,6.0,
21,202,Cabo Delgado,-13.383194296,39.7735559697,POINT (39.77355597000007 -13.38319429599994),7.0,,21.0,
22,203,Cabo Delgado,-12.2720022459,40.1292784874,POINT (40.12927848700008 -12.27200224599994),3.0,2.0,23.0,
23,204,Cabo Delgado,-11.3510962141,40.365343654,POINT (40.36534365400007 -11.35109621399994),5.0,20.0,2.0,
24,205,Cabo Delgado,-13.1093151431,38.9906766477,POINT (38.99067664800003 -13.10931514299995),10.0,5.0,10.0,
25,206,Cabo Delgado,-11.6491624379,39.5517619916,POINT (39.55176199200002 -11.64916243799996),5.0,,22.0,
26,207,Cabo Delgado,-13.0688316933,39.8679633958,POINT (39.86796339600005 -13.06883169299994),,,27.0,
27,208,Cabo Delgado,-13.3493473665,38.5583975253,POINT (38.55839752500003 -13.34934736699995),17.0,3.0,8.0,
28,209,Cabo Delgado,-13.5918157441,38.5291089804,POINT (38.52910898000005 -13.59181574399997),10.0,,16.0,
29,210,Cabo Delgado,-13.4789544419,39.9766398728,POINT (39.97663987300007 -13.47895444199997),,,28.0,
30,211,Cabo Delgado,-13.5371060285,39.848640369,POINT (39.84864036900007 -13.53710602799993),20.0,,8.0,
31,212,Cabo Delgado,-11.9416339971,40.4366448505,POINT (40.43664485000005 -11.94163399699994),2.0,,26.0,
32,213,Cabo Delgado,-13.1019481721,40.5372736187,POINT (40.53727361900008 -13.10194817199994),16.0,1.0,9.0,
33,214,Cabo Delgado,-13.214724713,39.114357743,POINT (39.11435774300003 -13.21472471299995),,,28.0,
34,215,Cabo Delgado,-12.9991558375,39.3445921142,POINT (39.34459211400008 -12.99915583699993),3.0,,25.0,
35,216,Cabo Delgado,-11.3876051192,39.4421150817,POINT (39.44211508200004 -11.38760511899994),16.0,,12.0,
36,217,Cabo Delgado,-13.7146585106,38.9638622809,POINT (38.96386228100005 -13.71465851099998),1.0,,27.0,
37,218,Cabo Delgado,-13.8546076498,38.8451339383,POINT (38.84513393800006 -13.85460764999993),1.0,,27.0,
38,219,Cabo Delgado,-11.0332688414,39.6575532841,POINT (39.65755328400007 -11.03326884099994),17.0,5.0,6.0,
39,220,Cabo Delgado,-13.1325163635,40.5173618184,POINT (40.51736181800004 -13.13251636299998),23.0,4.0,,
40,221,Cabo Delgado,-13.094081577,40.2544432384,POINT (40.25444323800008 -13.09408157699994),11.0,,17.0,
41,301,Nampula,-15.1301365681,39.2694789697,POINT (39.26947897000008 -15.13013656799995),3.0,25.0,,
42,302,Nampula,-15.1084816546,39.2677124983,POINT (39.26771249800004 -15.10848165499993),1.0,27.0,,
43,303,Nampula,-16.199614226,39.9979631698,POINT (39.99796317000005 -16.19961422599994),23.0,,5.0,
44,304,Nampula,-14.9741981285,37.5202245421,POINT (37.52022454200005 -14.97419812899994),,,28.0,
45,305,Nampula,-16.746214,39.224409,POINT (39.22440900000004 -16.74621399999995),18.0,1.0,9.0,
46,306,Nampula,-14.5426593009,40.6940188115,POINT (40.69401881100003 -14.54265930099996),3.0,25.0,,
47,307,Nampula,-14.9380523479,38.306101083,POINT (38.30610108300004 -14.93805234799993),11.0,17.0,,
48,308,Nampula,-16.3824285305,39.8387883581,POINT (39.83878835800004 -16.38242853099996),9.0,,19.0,
49,309,Nampula,-13.8100962988,39.8663149581,POINT (39.86631495800003 -13.81009629899995),17.0,,10.0,
50,310,Nampula,-14.4227184747,38.3001092294,POINT (38.30010922900004 -14.42271847499995),23.0,5.0,,
51,311,Nampula,-15.4733117536,39.5429080639,POINT (39.54290806400007 -15.47331175399995),25.0,,3.0,
52,312,Nampula,-14.1793873867,40.5031870277,POINT (40.50318702800007 -14.17938738699996),23.0,1.0,3.0,1.0
53,313,Nampula,-15.4724578336,40.5402345688,POINT (40.54023456900006 -15.47245783399995),,,28.0,
54,314,Nampula,-15.5797853451,38.982099714,POINT (38.98209971400007 -15.57978534499995),7.0,,21.0,
55,315,Nampula,-16.4778786012,39.2433325709,POINT (39.24333257100005 -16.47787860099993),7.0,,21.0,
