Column1;DHSID;DHSCC;DHSYEAR;DHSCLUST;CCFIPS;ADM1FIPS;ADM1FIPSNA;ADM1SALBNA;ADM1SALBCO;ADM1DHS;ADM1NAME;DHSREGCO;DHSREGNA;SOURCE;URBAN_RURA;LATNUM;LONGNUM;ALT_GPS;ALT_DEM;DATUM;coords
0;MZ201800000101;MZ;20180;1010;MZ;NULL;NULL;NULL;NULL;10;Niassa;10;Niassa;GPS;U;-1,32856E+11;3,52311E+11;13500;13400;WGS84;[[35.23113766400007, -13.285618369999952]]
1;MZ201800000102;MZ;20180;1020;MZ;NULL;NULL;NULL;NULL;10;Niassa;10;Niassa;GPS;U;-1,33227E+11;3,52552E+11;13640;13560;WGS84;[[35.25521694200006, -13.32265534399994]]
2;MZ201800000103;MZ;20180;1030;MZ;NULL;NULL;NULL;NULL;10;Niassa;10;Niassa;GPS;U;-1,32716E+11;35196597022;12570;12550;WGS84;[[35.19659702200005, -13.271619529999953]]
3;MZ201800000104;MZ;20180;1040;MZ;NULL;NULL;NULL;NULL;10;Niassa;10;Niassa;GPS;U;-1,4812E+11;3,65637E+11;5800;5740;WGS84;[[36.563686638000036, -14.811983097999928]]
4;MZ201800000105;MZ;20180;1050;MZ;NULL;NULL;NULL;NULL;10;Niassa;10;Niassa;GPS;U;-1,47882E+11;3,65141E+11;5680;5750;WGS84;[[36.514076792000026, -14.788213595999935]]
5;MZ201800000106;MZ;20180;1060;MZ;NULL;NULL;NULL;NULL;10;Niassa;10;Niassa;GPS;U;-14370950681;3,56555E+11;1630;7440;WGS84;[[35.655547213000034, -14.370950680999954]]
6;MZ201800000107;MZ;20180;1070;MZ;NULL;NULL;NULL;NULL;10;Niassa;10;Niassa;GPS;R;-1,51365E+11;3,65967E+11;6210;6180;WGS84;[[36.59672399500005, -15.136528307999981]]
7;MZ201800000108;MZ;20180;1080;MZ;NULL;NULL;NULL;NULL;10;Niassa;10;Niassa;GPS;R;-1,4677E+11;3,64566E+11;6240;6240;WGS84;[[36.456597948000024, -14.67696746699994]]
8;MZ201800000109;MZ;20180;1090;MZ;NULL;NULL;NULL;NULL;10;Niassa;10;Niassa;GPS;R;-1,20948E+11;3,48492E+11;4870;4810;WGS84;[[34.84917182500004, -12.09484807299998]]
9;MZ201800000110;MZ;20180;1100;MZ;NULL;NULL;NULL;NULL;10;Niassa;10;Niassa;GPS;R;-1,35856E+11;3,54727E+11;9190;9070;WGS84;[[35.47274278700007, -13.585550594999972]]
10;MZ201800000111;MZ;20180;1110;MZ;NULL;NULL;NULL;NULL;10;Niassa;10;Niassa;GPS;R;-1,3397E+11;3,48693E+11;4670;4760;WGS84;[[34.86926747500007, -13.396962168999949]]
11;MZ201800000112;MZ;20180;1120;MZ;NULL;NULL;NULL;NULL;10;Niassa;10;Niassa;GPS;R;-1,43945E+11;3,57313E+11;7030;6900;WGS84;[[35.73134834800004, -14.39446920599994]]
12;MZ201800000113;MZ;20180;1130;MZ;NULL;NULL;NULL;NULL;10;Niassa;10;Niassa;GPS;R;-1,41861E+11;3,58962E+11;4740;6600;WGS84;[[35.896235371000046, -14.186051268999961]]
13;MZ201800000114;MZ;20180;1140;MZ;NULL;NULL;NULL;NULL;10;Niassa;10;Niassa;GPS;R;-1,33999E+11;3,77508E+11;6270;6480;WGS84;[[37.75080061800003, -13.39991086699996]]
14;MZ201800000115;MZ;20180;1150;MZ;NULL;NULL;NULL;NULL;10;Niassa;10;Niassa;GPS;R;-1,26318E+11;36077732521;7560;9080;WGS84;[[36.07773252100003, -12.631818325999973]]
15;MZ201800000116;MZ;20180;1160;MZ;NULL;NULL;NULL;NULL;10;Niassa;10;Niassa;GPS;R;-1,54249E+11;3,60152E+11;1780;6570;WGS84;[[36.015211349000026, -15.424944183999969]]
16;MZ201800000117;MZ;20180;1170;MZ;NULL;NULL;NULL;NULL;10;Niassa;10;Niassa;GPS;R;-1,50447E+11;3,59762E+11;6760;6840;WGS84;[[35.97618470300006, -15.04474781099998]]
17;MZ201800000118;MZ;20180;1180;MZ;NULL;NULL;NULL;NULL;10;Niassa;10;Niassa;GPS;R;-1,44934E+11;3,7311E+11;1770;4940;WGS84;[[37.31098298400008, -14.49344775399993]]
18;MZ201800000119;MZ;20180;1190;MZ;NULL;NULL;NULL;NULL;10;Niassa;10;Niassa;GPS;R;-1,39949E+11;3,54214E+11;11010;11030;WGS84;[[35.42139202100003, -13.99485612999996]]
19;MZ201800000120;MZ;20180;1200;MZ;NULL;NULL;NULL;NULL;10;Niassa;10;Niassa;GPS;R;-1,41474E+11;3,82453E+11;3820;3840;WGS84;[[38.245334531000026, -14.147398383999928]]
20;MZ201800000201;MZ;20180;2010;MZ;NULL;NULL;NULL;NULL;20;Cabo Delgado;20;Cabo Delgado;GPS;U;-1,33805E+11;3,97961E+11;3140;3190;WGS84;[[39.79608521600005, -13.380471770999975]]
21;MZ201800000202;MZ;20180;2020;MZ;NULL;NULL;NULL;NULL;20;Cabo Delgado;20;Cabo Delgado;GPS;U;-13383194296;3,97736E+11;3220;3230;WGS84;[[39.773555970000075, -13.383194295999942]]
